county,pct_uninsured
Hendry,20.6
Glades,20.4
Calhoun,19.0
DeSoto,18.8
Dixie,17.7
Okeechobee,17.3
Hardee,16.8
Gadsden,16.4
Franklin,15.3
Putnam,15.1
Gilchrist,15.1
Levy,14.9
Monroe,14.9
Washington,14.4
Miami-Dade,14.3
Walton,14.1
Columbia,13.8
Bay,13.8
Broward,13.3
Holmes,13.3
Hamilton,13.3
Palm Beach,13.2
Polk,13.0
Highlands,12.7
Lee,12.5
Orange,12.3
Marion,12.2
Escambia,12.1
Madison,12.1
St. Lucie,12.1
Suwannee,11.9
Hernando,11.7
Manatee,11.7
Duval,11.5
Citrus,11.5
Hillsborough,11.5
Okaloosa,11.4
Bradford,11.3
Collier,11.2
Volusia,11.0
Lafayette,11.0
Osceola,10.9
Flagler,10.8
Pasco,10.7
Pinellas,10.7
Indian River,10.6
Baker,10.4
Santa Rosa,10.4
Martin,10.2
Lake,10.1
Sarasota,10.0
Brevard,9.9
Jackson,9.8
Charlotte,9.8
Jefferson,9.8
Seminole,9.6
Union,9.6
Taylor,9.5
Gulf,9.5
Liberty,8.6
Clay,8.2
Alachua,7.8
Leon,7.7
Nassau,7.5
Wakulla,6.6
St. Johns,6.4
Sumter,5.2
